Rank,Model,Accuracy,Precision,Recall,F1,ROC_AUC
1,HistGradientBoosting,0.8163793103448276,0.8152542372881356,0.8222222222222222,0.8187234042553192,0.9091059085841695
2,Weighted Ensemble,0.8137931034482758,0.8049586776859504,0.8324786324786325,0.8184873949579832,0.9093244147157191
3,XGBoost,0.8086206896551724,0.8009950248756219,0.8256410256410256,0.8131313131313131,0.9064689706428837
4,Random Forest,0.8043103448275862,0.8013468013468014,0.8136752136752137,0.8074639525021204,0.8912835377183204
5,Logistic Regression,0.803448275862069,0.7793427230046949,0.8512820512820513,0.8137254901960784,0.879768115942029
6,SVM,0.8,0.7753510140405616,0.8495726495726496,0.8107667210440457,0.8829966555183947
